Eastern Conference,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Playoff teams are marked with an asterisk (*),,,,,,,,,,,,,,
,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Atlantic Division,,,,,,,,,,,,,,
Toronto Maple Leafs*,82,52,26,4,108,0.659,268,231,0.44,-0.01,0.64,41,41-26-15,0.591
Tampa Bay Lightning*,82,47,27,8,102,0.622,294,219,0.89,-0.03,0.579,41,41-27-14,0.585
Florida Panthers*,82,47,31,4,98,0.598,252,223,0.35,-0.01,0.537,37,37-31-14,0.537
Ottawa Senators*,82,45,30,7,97,0.591,243,234,0.11,-0.01,0.555,35,35-30-17,0.53
Montreal Canadiens*,82,40,31,11,91,0.555,245,265,-0.23,0.02,0.5,30,30-31-21,0.494
Detroit Red Wings,82,39,35,8,86,0.524,238,259,-0.23,0.02,0.457,30,30-35-17,0.47
Buffalo Sabres,82,36,39,7,79,0.482,269,289,-0.24,0.01,0.427,29,29-39-14,0.439
Boston Bruins,82,33,39,10,76,0.463,222,272,-0.57,0.04,0.409,26,26-39-17,0.421
Metropolitan Division,,,,,,,,,,,,,,
Washington Capitals*,82,51,22,9,111,0.677,288,232,0.66,-0.03,0.628,43,43-22-17,0.628
Carolina Hurricanes*,82,47,30,5,99,0.604,266,233,0.4,0,0.591,42,42-30-10,0.573
New Jersey Devils*,82,42,33,7,91,0.555,242,222,0.24,-0.01,0.512,36,36-33-13,0.518
Columbus Blue Jackets,82,40,33,9,89,0.543,273,268,0.06,0,0.457,30,30-33-19,0.482
New York Rangers,82,39,36,7,85,0.518,256,255,0.01,0,0.47,35,35-36-11,0.494
New York Islanders,82,35,35,12,82,0.5,224,260,-0.43,0.01,0.433,28,28-35-19,0.457
Pittsburgh Penguins,82,34,36,12,80,0.488,243,293,-0.59,0.02,0.445,24,24-36-22,0.427
Philadelphia Flyers,82,33,39,10,76,0.463,238,286,-0.56,0.02,0.384,21,21-39-22,0.39
,,,,,,,,,,,,,,
Western Conference,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Playoff teams are marked with an asterisk (*),,,,,,,,,,,,,,
,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Central Division,,,,,,,,,,,,,,
Winnipeg Jets*,82,56,22,4,116,0.707,277,191,1.02,-0.03,0.677,43,43-22-17,0.628
Dallas Stars*,82,50,26,6,106,0.646,277,224,0.61,-0.04,0.61,41,41-26-15,0.591
Colorado Avalanche*,82,49,29,4,102,0.622,277,234,0.5,-0.03,0.591,40,40-29-13,0.567
Minnesota Wild*,82,45,30,7,97,0.591,228,239,-0.13,0.01,0.549,33,33-30-19,0.518
St. Louis Blues*,82,44,30,8,96,0.585,254,233,0.25,-0.01,0.524,32,32-30-20,0.512
Utah Hockey Club,82,38,31,13,89,0.543,241,251,-0.11,0.01,0.482,30,30-31-21,0.494
Nashville Predators,82,30,44,8,68,0.415,214,274,-0.69,0.04,0.354,24,24-44-14,0.378
Chicago Blackhawks,82,25,46,11,61,0.372,226,296,-0.83,0.03,0.317,20,20-46-16,0.341
Pacific Division,,,,,,,,,,,,,,
Vegas Golden Knights*,82,50,22,10,110,0.671,275,219,0.65,-0.03,0.634,46,46-22-14,0.646
Los Angeles Kings*,82,48,25,9,105,0.64,250,206,0.5,-0.04,0.598,43,43-25-14,0.61
Edmonton Oilers*,82,48,29,5,101,0.616,259,236,0.26,-0.02,0.591,36,36-29-17,0.543
Calgary Flames,82,41,27,14,96,0.585,225,238,-0.17,-0.02,0.482,31,31-27-24,0.524
Vancouver Canucks,82,38,30,14,90,0.549,236,253,-0.22,-0.01,0.457,28,28-30-24,0.488
Anaheim Ducks,82,35,37,10,80,0.488,221,263,-0.49,0.03,0.415,24,24-37-21,0.421
Seattle Kraken,82,35,41,6,76,0.463,247,265,-0.23,-0.01,0.433,28,28-41-13,0.421
San Jose Sharks,82,20,50,12,52,0.317,210,315,-1.24,0.04,0.262,14,14-50-18,0.28
